#  N   trapezoid     Simpsons      Gauss      GSL      3-8
#---------------------------------------------------------
2.713491e+00  -6.504481e+00  -1.310605e+01  -9.167613e+00  -1.575539e+01  -1.275626e+01
2.718502e+00  -6.514522e+00  -1.312192e+01  -9.177557e+00  -1.575539e+01  -1.277312e+01
2.723456e+00  -6.524449e+00  -1.314261e+01  -9.187391e+00  -1.575539e+01  -1.279397e+01
2.728354e+00  -6.534264e+00  -1.316880e+01  -9.197113e+00  -1.575539e+01  -1.281190e+01
2.733197e+00  -6.543969e+00  -1.318836e+01  -9.206730e+00  -1.575539e+01  -1.283422e+01
2.737987e+00  -6.553567e+00  -1.320030e+01  -9.216240e+00  -1.575539e+01  -1.285067e+01
2.742725e+00  -6.563059e+00  -1.322905e+01  -9.225649e+00  -1.575539e+01  -1.286834e+01
2.747412e+00  -6.572450e+00  -1.324084e+01  -9.234957e+00  -1.575539e+01  -1.288851e+01
2.752048e+00  -6.581739e+00  -1.325985e+01  -9.244168e+00  -1.575539e+01  -1.290597e+01
2.756636e+00  -6.590931e+00  -1.327972e+01  -9.253282e+00  -1.575539e+01  -1.292996e+01
2.761176e+00  -6.600026e+00  -1.329001e+01  -9.262301e+00  -1.575539e+01  -1.294516e+01
2.765669e+00  -6.609027e+00  -1.330668e+01  -9.271228e+00  -1.575539e+01  -1.296440e+01
2.770115e+00  -6.617936e+00  -1.333875e+01  -9.280065e+00  -1.575539e+01  -1.298014e+01
2.774517e+00  -6.626754e+00  -1.336445e+01  -9.288814e+00  -1.575539e+01  -1.300257e+01
2.778874e+00  -6.635484e+00  -1.335399e+01  -9.073515e+00  -1.575539e+01  -1.302219e+01
2.783189e+00  -6.644127e+00  -1.337881e+01  -9.082108e+00  -1.575539e+01  -1.302622e+01
2.787460e+00  -6.652684e+00  -1.341297e+01  -9.090615e+00  -1.575539e+01  -1.305642e+01
2.791691e+00  -6.661158e+00  -1.341495e+01  -9.099042e+00  -1.575539e+01  -1.306697e+01
2.795880e+00  -6.669550e+00  -1.342094e+01  -9.107386e+00  -1.575539e+01  -1.308514e+01
