# m=10, k=39.478, p=2
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
10.0400  4.483096240086277e-01  4.544943997186860e-01  1.032825796878244e+00  3.967174203121687e+00
10.0500  4.527657800440641e-01  4.367074871544636e-01  9.535671466838300e-01  4.046432853316101e+00
10.0600  4.570431990851200e-01  4.187481768801717e-01  8.767501782023377e-01  4.123249821797594e+00
10.0700  4.611401925478592e-01  4.006235586390749e-01  8.024961786831813e-01  4.197503821316749e+00
10.0800  4.650551430744116e-01  3.823407874325703e-01  7.309223886727897e-01  4.269077611327140e+00
10.0900  4.687865051714539e-01  3.639070806956285e-01  6.621418169020734e-01  4.337858183097855e+00
10.1000  4.723328058203180e-01  3.453297154475886e-01  5.962630618555627e-01  4.403736938144366e+00
10.1100  4.756926450584911e-01  3.266160254194309e-01  5.333901403039317e-01  4.466609859695995e+00
10.1200  4.788646965322745e-01  3.077733981586619e-01  4.736223230706513e-01  4.526377676929275e+00
10.1300  4.818477080203841e-01  2.888092721129544e-01  4.170539782920728e-01  4.582946021707853e+00
10.1400  4.846405019282864e-01  2.697311336936933e-01  3.637744224184252e-01  4.636225577581501e+00
10.1500  4.872419757530737e-01  2.505465143205876e-01  3.138677791909819e-01  4.686132220808944e+00
10.1600  4.896511025186958e-01  2.312629874485146e-01  2.674128468180591e-01  4.732587153181869e+00
10.1700  4.918669311813766e-01  2.118881655777693e-01  2.244829735595610e-01  4.775517026440367e+00
10.1800  4.938885870050544e-01  1.924296972489006e-01  1.851459419165178e-01  4.814854058083410e+00
10.1900  4.957152719066995e-01  1.728952640233199e-01  1.494638616084675e-01  4.850536138391460e+00
10.2000  4.973462647713703e-01  1.532925774508737e-01  1.174930715076606e-01  4.882506928492268e+00
10.2100  4.987809217368859e-01  1.336293760255786e-01  8.928405068492735e-02  4.910715949315001e+00
10.2200  5.000186764480022e-01  1.139134221307186e-01  6.488133870765649e-02  4.935118661292271e+00
10.2300  5.010590402799895e-01  9.415249897451289e-02  4.432346531572826e-02  4.955676534684198e+00
10.2400  5.019016025315259e-01  7.435440751756128e-02  2.764288958643787e-02  4.972357110413488e+00
10.2500  5.025460305868285e-01  5.452696339328282e-02  1.486594868446202e-02  4.985134051315462e+00
10.2600  5.029920700469590e-01  3.467799382256127e-02  6.012816277787987e-03  4.993987183722136e+00
10.2700  5.032395448302521e-01  1.481533452381657e-02  1.097470685262955e-03  4.998902529314657e+00
10.2800  5.032883572418273e-01  -5.053173380278274e-03  1.276728060557648e-04  4.999872327193863e+00
10.2900  5.031384880121545e-01  -2.491968645821380e-02  3.104953865878421e-03  4.996895046134040e+00
10.3000  5.027899963046617e-01  -4.477636206597212e-02  1.002461299931513e-02  4.989975387000600e+00
10.3100  5.022430196923795e-01  -6.461536144304403e-02  2.087572467207610e-02  4.979124275327841e+00
10.3200  5.014977741036307e-01  -8.442885280691315e-02  3.564115593145703e-02  4.964358844068461e+00
10.3300  5.005545537367903e-01  -1.042090144447852e-01  5.429759345776729e-02  4.945702406542153e+00
10.3400  4.994137309441443e-01  -1.239480378013425e-01  7.681558037401510e-02  4.923184419625906e+00
10.3500  4.980757560848987e-01  -1.436381305613033e-01  1.031595627557301e-01  4.896840437244189e+00
10.3600  4.965411573473915e-01  -1.632715197255718e-01  1.332879457674890e-01  4.866712054232429e+00
10.3700  4.948105405405818e-01  -1.828404546797610e-01  1.671531593375088e-01  4.832846840662408e+00
10.3800  4.928845888548964e-01  -2.023372102538799e-01  2.047017332666141e-01  4.795298266733304e+00
10.3900  4.907640625925286e-01  -2.217540897719758e-01  2.458743816529876e-01  4.754125618346931e+00
10.4000  4.884497988672959e-01  -2.410834280905280e-01  2.906060964994039e-01  4.709393903500513e+00
10.4100  4.859427112741757e-01  -2.603175946243934e-01  3.388262503551501e-01  4.661173749644767e+00
10.4200  4.832437895286472e-01  -2.794489963591105e-01  3.904587078305707e-01  4.609541292169349e+00
10.4300  4.803540990759849e-01  -2.984700808483701e-01  4.454219458081628e-01  4.554578054191756e+00
10.4400  4.772747806706562e-01  -3.173733391954726e-01  5.036291821604224e-01  4.496370817839498e+00
10.4500  4.740070499259887e-01  -3.361513090175925e-01  5.649885127712048e-01  4.435011487228715e+00
10.4600  4.705521968342863e-01  -3.547965773916812e-01  6.294030566442561e-01  4.370596943355664e+00
10.4700  4.669115852575829e-01  -3.733017837808441e-01  6.967711088698002e-01  4.303228891130119e+00
10.4800  4.630866523892345e-01  -3.916596229400379e-01  7.669863012076632e-01  4.233013698792256e+00
10.4900  4.590789081865629e-01  -4.098628477999406e-01  8.399377700333867e-01  4.160062229966533e+00
10.5000  4.548899347747741e-01  -4.279042723278554e-01  9.155103313821572e-01  4.084489668617763e+00
10.5100  4.505213858223875e-01  -4.457767743645188e-01  9.935846628141755e-01  4.006415337185744e+00
10.5200  4.459749858884225e-01  -4.634732984356946e-01  1.074037491814312e+00  3.925962508185608e+00
10.5300  4.412525297415987e-01  -4.809868585374424e-01  1.156741790428588e+00  3.843258209571332e+00
10.5400  4.363558816518214e-01  -4.983105408939615e-01  1.241566975830162e+00  3.758433024169759e+00
10.5500  4.312869746542283e-01  -5.154375066869213e-01  1.328379116498150e+00  3.671620883501770e+00
10.5600  4.260478097860921e-01  -5.323609947552017e-01  1.417041143683739e+00  3.582958856316182e+00
10.5700  4.206404552968760e-01  -5.490743242639755e-01  1.507413067829707e+00  3.492586932170216e+00
10.5800  4.150670458317576e-01  -5.655708973420824e-01  1.599352199601642e+00  3.400647800398281e+00
10.5900  4.093297815889412e-01  -5.818442016866507e-01  1.692713375181879e+00  3.307286624818041e+00
10.6000  4.034309274510924e-01  -5.978878131339399e-01  1.787349185470425e+00  3.212650814529495e+00
10.6100  3.973728120912368e-01  -6.136953981953882e-01  1.883110208830980e+00  3.116889791168941e+00
10.6200  3.911578270534766e-01  -6.292607165578648e-01  1.979845247014587e+00  3.020154752985333e+00
10.6300  3.847884258088884e-01  -6.445776235471403e-01  2.077401563888395e+00  2.922598436111526e+00
10.6400  3.782671227869733e-01  -6.596400725536008e-01  2.175625126592599e+00  2.824374873407323e+00
10.6500  3.715964923830435e-01  -6.744421174192499e-01  2.274360848744806e+00  2.725639151255116e+00
10.6600  3.647791679419354e-01  -6.889779147850561e-01  2.373452835307820e+00  2.626547164692103e+00
10.6700  3.578178407184521e-01  -7.032417263977183e-01  2.472744628734216e+00  2.527255371265707e+00
10.6800  3.507152588149454e-01  -7.172279213749382e-01  2.572079455999073e+00  2.427920544000852e+00
10.6900  3.434742260964546e-01  -7.309309784283073e-01  2.671300476130813e+00  2.328699523869111e+00
10.7000  3.360976010838341e-01  -7.443454880429298e-01  2.770251027849337e+00  2.229748972150587e+00
10.7100  3.285882958253028e-01  -7.574661546129202e-01  2.868774876920422e+00  2.131225123079503e+00
10.7200  3.209492747468642e-01  -7.702877985319335e-01  2.966716462835863e+00  2.033283537164063e+00
10.7300  3.131835534820485e-01  -7.828053582379036e-01  3.063921144429863e+00  1.936078855570063e+00
10.7400  3.052941976814394e-01  -7.950138922111809e-01  3.160235444043856e+00  1.839764555956071e+00
10.7500  2.972843218024577e-01  -8.069085809252807e-01  3.255507289854252e+00  1.744492710145672e+00
10.7600  2.891570878798752e-01  -8.184847287494744e-01  3.349586255980503e+00  1.650413744019422e+00
10.7700  2.809157042775476e-01  -8.297377658024682e-01  3.442323799994357e+00  1.557676200005567e+00
10.7800  2.725634244218594e-01  -8.406632497564422e-01  3.533573497455312e+00  1.466426502544613e+00
10.7900  2.641035455173772e-01  -8.512568675907354e-01  3.623191273101954e+00  1.376808726897971e+00
10.8000  2.555394072452229e-01  -8.615144372944827e-01  3.711035628334146e+00  1.288964371665781e+00
10.8100  2.468743904446773e-01  -8.714319095175361e-01  3.796967864626896e+00  1.203032135373030e+00
10.8200  2.381119157785365e-01  -8.810053691690141e-01  3.880852302523153e+00  1.119147697476774e+00
10.8300  2.292554423827474e-01  -8.902310369628496e-01  3.962556495859752e+00  1.037443504140174e+00
10.8400  2.203084665008541e-01  -8.991052709097290e-01  4.041951440888287e+00  9.580485591116380e-01
10.8500  2.112745201037971e-01  -9.076245677548287e-01  4.118911779960698e+00  8.810882200392269e-01
10.8600  2.021571694956072e-01  -9.157855643607834e-01  4.193315999457992e+00  8.066840005419313e-01
10.8700  1.929600139055467e-01  -9.235850390353437e-01  4.265046621649587e+00  7.349533783503375e-01
10.8800  1.836866840672518e-01  -9.310199128031929e-01  4.333990390180325e+00  6.660096098196019e-01
10.8900  1.743408407854393e-01  -9.380872506214243e-01  4.400038448892314e+00  5.999615511076111e-01
10.9000  1.649261734907416e-01  -9.447842625382009e-01  4.463086513699261e+00  5.369134863006642e-01
10.9100  1.554463987832409e-01  -9.511083047941353e-01  4.523035037241869e+00  4.769649627580562e-01
10.9200  1.459052589652783e-01  -9.570568808659586e-01  4.579789366064389e+00  4.202106339355360e-01
10.9300  1.363065205641162e-01  -9.626276424520662e-01  4.633259890064116e+00  3.667401099358112e-01
10.9400  1.266539728450376e-01  -9.678183903995486e-01  4.683362183977867e+00  3.166378160220606e-01
10.9500  1.169514263154692e-01  -9.726270755723458e-01  4.730017140682069e+00  2.699828593178574e-01
10.9600  1.072027112207189e-01  -9.770517996601777e-01  4.773151096095960e+00  2.268489039039649e-01
10.9700  9.741167603192086e-02  -9.810908159279348e-01  4.812695945490704e+00  1.873040545092203e-01
10.9800  8.758218592678661e-02  -9.847425299052313e-01  4.848589251020776e+00  1.514107489791470e-01
10.9900  7.771812126375997e-02  -9.880055000158496e-01  4.880774340307845e+00  1.192256596920774e-01
11.0000  6.782337605017973e-02  -9.908784381468273e-01  4.909200395921479e+00  9.079960407844356e-02
11.0100  5.790185640505401e-02  -9.933602101569610e-01  4.933822535615408e+00  6.617746438451534e-02
11.0200  4.795747901705317e-02  -9.954498363245282e-01  4.954601883192650e+00  4.539811680727375e-02
11.0300  3.799416959833053e-02  -9.971464917340495e-01  4.971505629887614e+00  2.849437011230927e-02
11.0400  2.801586133478061e-02  -9.984495066019374e-01  4.984507086168262e+00  1.549291383166106e-02
11.0500  1.802649333334707e-02  -9.993583665409055e-01  4.993585723876534e+00  6.414276123388957e-03
11.0600  8.030009066993271e-03  -9.998727127630306e-01  4.998727208640509e+00  1.272791359414108e-03
11.0700  -1.969645182050787e-03  -9.999923422213911e-01  4.999923422507119e+00  7.657749280414864e-05
11.0800  -1.196852188015051e-02  -9.997172076902233e-01  4.997172476759685e+00  2.827523240237968e-03
