# m=1, k=39.4784, p=3
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
6.1300  3.998972274665623e-01  -4.008926193212864e-01  8.035744611314093e-02  8.415572414845539e-01
6.1400  3.956242493945600e-01  -4.534768463335154e-01  1.028206250802954e-01  8.148678664824218e-01
6.1500  3.908324582199459e-01  -5.046311040060919e-01  1.273262755652036e-01  7.856160631759899e-01
6.1600  3.855368605530383e-01  -5.542157523065273e-01  1.535775500523450e-01  7.541126077732075e-01
6.1700  3.797538057881101e-01  -6.021020019728739e-01  1.812634103898713e-01  7.206840107332440e-01
6.1800  3.735008739776390e-01  -6.481726172779507e-01  2.100638708944744e-01  6.856671595326675e-01
6.1900  3.667967573111933e-01  -6.923224917136954e-01  2.396552162663299e-01  6.494039783022948e-01
6.2000  3.596611364850090e-01  -7.344590938905751e-01  2.697150802992823e-01  6.122362197616504e-01
6.2100  3.521145532650563e-01  -7.745027829988840e-01  2.999272804365082e-01  5.745004958512844e-01
6.2200  3.441782805429641e-01  -8.123869951559026e-01  3.299863149492183e-01  5.365236417506032e-01
6.2300  3.358741911615039e-01  -8.480583038259339e-01  3.596014433440600e-01  4.986184941325549e-01
6.2400  3.272246267457547e-01  -8.814763592148903e-01  3.885002859273692e-01  4.610801491541492e-01
6.2500  3.182522677192084e-01  -9.126137130788182e-01  4.164318946497538e-01  4.241827494364777e-01
6.2600  3.089800056128144e-01  -9.414555367242285e-01  4.431692638143526e-01  3.881768327600335e-01
6.2700  2.994308186913815e-01  -9.679992411014561e-01  4.685112653864975e-01  3.532872589628225e-01
6.2800  2.896276518280639e-01  -9.922540087911387e-01  4.922840089810426e-01  3.197117160929716e-01
6.2900  2.795933014561047e-01  -1.014240248355067e+00  5.143416406916744e-01  2.876197926713547e-01
6.3000  2.693503063198878e-01  -1.033988981968788e+00  5.345666074164250e-01  2.571525903135127e-01
6.3100  2.589208446368536e-01  -1.051541177482330e+00  5.528694239704626e-01  2.284228402013291e-01
6.3200  2.483266381700786e-01  -1.066947036079807e+00  5.691879888997430e-01  2.015154781473127e-01
6.3300  2.375888636002914e-01  -1.080265246544672e+00  5.834865014461106e-01  1.764886263315266e-01
6.3400  2.267280714775515e-01  -1.091562216804464e+00  5.957540365775381e-01  1.533749252036955e-01
6.3500  2.157641129283777e-01  -1.100911292948483e+00  6.060028374707498e-01  1.321831564485456e-01
6.3600  2.047160741951017e-01  -1.108391975306814e+00  6.142663854622703e-01  1.129000971678305e-01
6.3700  1.936022189917984e-01  -1.114089140473154e+00  6.205973064601051e-01  9.549254634718700e-02
6.3800  1.824399385761811e-01  -1.118092277370283e+00  6.250651703575325e-01  7.990946702537800e-02
6.3900  1.712457093600169e-01  -1.120494744618761e+00  6.277542363591310e-01  6.608419112229387e-02
6.4000  1.600350578123495e-01  -1.121393055597967e+00  6.287611925716725e-01  5.393663835648232e-02
6.4100  1.488225323503455e-01  -1.120886196704066e+00  6.281929329808530e-01  4.337550584139507e-02
6.4200  1.376216818619435e-01  -1.119074983429960e+00  6.261644092693822e-01  3.430039055183708e-02
6.4300  1.264450404625505e-01  -1.116061458033654e+00  6.227965890541032e-01  2.660381267679009e-02
6.4400  1.153041180545206e-01  -1.111948331737535e+00  6.182145462269435e-01  2.017311372436664e-02
6.4500  1.042093962326568e-01  -1.106838473623073e+00  6.125457033461270e-01  1.489220894917621e-02
6.4600  9.317032906099684e-02  -1.100834447662630e+00  6.059182405803433e-01  1.064317909125110e-02
6.4700  8.219534823508413e-02  -1.094038098669113e+00  5.984596806697641e-01  7.307691437986061e-03
6.4800  7.129187213914596e-02  -1.086550187350131e+00  5.902956548153024e-01  4.768244764219384e-03
6.4900  6.046631830841528e-02  -1.078470074128837e+00  5.815488503957295e-01  2.909236715474899e-03
6.5000  4.972411881253735e-02  -1.069895450940200e+00  5.723381379712671e-01  1.617855644679638e-03
6.5100  3.906973808588757e-02  -1.060922119828588e+00  5.627778721707926e-01  7.848017837804795e-04
6.5200  2.850669274399294e-02  -1.051643816858966e+00  5.529773587688469e-01  3.048449368795969e-04
6.5300  1.803757294141501e-02  -1.042152079607087e+00  5.430404785146884e-01  7.722764347765192e-05
6.5400  7.664064844767833e-03  -1.032536156310551e+00  5.330654570442837e-01  5.924012876003341e-06
6.5500  -2.613025893990555e-03  -1.022882496137043e+00  5.231443004517737e-01  2.347846081203084e-07
6.5600  -1.279358162443912e-02  -1.013222797958672e+00  5.133102191515998e-01  2.755591998188798e-05
6.5700  -2.287723217324594e-02  -1.003488273489566e+00  5.034943575155353e-01  1.575610698833791e-04
6.5800  -3.286283758120534e-02  -9.936009736201830e-01  4.936214473894878e-01  4.670395542943822e-04
6.5900  -4.274849015826400e-02  -9.834853078252196e-01  4.836216753540334e-01  1.028018246775950e-03
6.6000  -5.253153831239020e-02  -9.730680973991012e-01  4.734307610879533e-01  1.907650620208943e-03
6.6100  -6.220861104625411e-02  -9.622786554362897e-01  4.629901053541368e-01  3.168035185579547e-03
6.6200  -7.177564337867794e-02  -9.510488914480009e-01  4.522469969622357e-01  4.865973778202095e-03
6.6300  -8.122790292637445e-02  -9.393134384317320e-01  4.411548678092216e-01  7.052680426456677e-03
6.6400  -9.056001785918913e-02  -9.270098001135073e-01  4.296735847532424e-01  9.773451912201621e-03
6.6500  -9.976600641870634e-02  -9.140785159692896e-01  4.177697666783094e-01  1.306731155916258e-02
