numerical = 9.992166244983257117e-01   exact = 9.992166244983073931e-01
numerical = 9.988749559696457059e-01   exact = 9.988749559696461500e-01
numerical = 9.984716600502528960e-01   exact = 9.984716600502409056e-01
numerical = 9.980067616221525162e-01   exact = 9.980067616221600657e-01
numerical = 9.974802893681510296e-01   exact = 9.974802893681501414e-01
numerical = 9.968922757698844839e-01   exact = 9.968922757698657211e-01
numerical = 9.962427571058606324e-01   exact = 9.962427571058657394e-01
numerical = 9.955317734493689397e-01   exact = 9.955317734493746018e-01
numerical = 9.947593686658100509e-01   exact = 9.947593686658104950e-01
numerical = 9.939255904100779970e-01   exact = 9.939255904100788852e-01
numerical = 9.930304901236334247e-01   exact = 9.930304901236317594e-01
numerical = 9.920741230312913883e-01   exact = 9.920741230312948300e-01
numerical = 9.910565481378549313e-01   exact = 9.910565481378593722e-01
numerical = 9.899778282244472427e-01   exact = 9.899778282244425798e-01
numerical = 9.888380298446057814e-01   exact = 9.888380298446138861e-01
numerical = 9.876372233202989070e-01   exact = 9.876372233202883599e-01
numerical = 9.863754827373845124e-01   exact = 9.863754827373889533e-01
numerical = 9.850528859412716054e-01   exact = 9.850528859412751581e-01
numerical = 9.836695145319279687e-01   exact = 9.836695145319400702e-01
numerical = 9.822254538589746398e-01   exact = 9.822254538589760831e-01
numerical = 9.807207930163142073e-01   exact = 9.807207930163089893e-01
numerical = 9.791556248367125903e-01   exact = 9.791556248367017101e-01
numerical = 9.775300458860376462e-01   exact = 9.775300458860257669e-01
numerical = 9.758441564573003824e-01   exact = 9.758441564573047122e-01
numerical = 9.740980605645281898e-01   exact = 9.740980605645251922e-01
numerical = 9.722918659362339566e-01   exact = 9.722918659362206339e-01
numerical = 9.704256840088264502e-01   exact = 9.704256840088238967e-01
numerical = 9.684996299197838887e-01   exact = 9.684996299197926595e-01
numerical = 9.665138225004952233e-01   exact = 9.665138225005051043e-01
numerical = 9.644683842689423248e-01   exact = 9.644683842689294462e-01
numerical = 9.623634414220506583e-01   exact = 9.623634414220638700e-01
numerical = 9.601991238281519792e-01   exact = 9.601991238281512020e-01
numerical = 9.579755650186603244e-01   exact = 9.579755650186662086e-01
numerical = 9.556929021800859569e-01   exact = 9.556929021800774082e-01
numerical = 9.533512761453838413e-01   exact = 9.533512761453827311e-01
numerical = 9.509508313854201367e-01   exact = 9.509508313854209138e-01
numerical = 9.484917159999696201e-01   exact = 9.484917159999578518e-01
numerical = 9.459740817085409148e-01   exact = 9.459740817085494635e-01
numerical = 9.433980838411791803e-01   exact = 9.433980838411810677e-01
numerical = 9.407638813286779422e-01   exact = 9.407638813286839374e-01
numerical = 9.380716366929344741e-01   exact = 9.380716366929301442e-01
numerical = 9.353215160368038017e-01   exact = 9.353215160368044678e-01
numerical = 9.325136890339643658e-01   exact = 9.325136890339575935e-01
numerical = 9.296483289183383736e-01   exact = 9.296483289183375964e-01
numerical = 9.267256124735059331e-01   exact = 9.267256124735007150e-01
numerical = 9.237457200216948605e-01   exact = 9.237457200217061848e-01
numerical = 9.207088354127971330e-01   exact = 9.207088354127893615e-01
