# m=1, k=39.4784, p=4
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
7.2400  6.009482620546432e-01  -4.143041957155718e+00  8.582398329376339e+00  1.287206071307153e+00
7.2500  5.591181155517191e-01  -4.220208114470074e+00  8.905078264719528e+00  9.645261359210747e-01
7.2600  5.165961840410838e-01  -4.281748856158204e+00  9.166686633606044e+00  7.029177669977688e-01
7.2700  4.735282590808947e-01  -4.329751497799537e+00  9.373374016348665e+00  4.962303842248115e-01
7.2800  4.300394986789350e-01  -4.366247420986409e+00  9.532058270635233e+00  3.375461299141885e-01
7.2900  3.862352105543604e-01  -4.393168911744505e+00  9.649966543559199e+00  2.196378569719154e-01
7.3000  3.422020197088381e-01  -4.412315310954007e+00  9.734263201639578e+00  1.353411988782193e-01
7.3100  2.980093321607914e-01  -4.425327437717728e+00  9.791761465508676e+00  7.784293499993371e-02
7.3200  2.537110181696644e-01  -4.433669053765189e+00  9.828710639157553e+00  4.089376134510660e-02
7.3300  2.093472510188210e-01  -4.438614071096590e+00  9.850647436068323e+00  1.895696443078287e-02
7.3400  1.649464503166862e-01  -4.441238236242624e+00  9.862298535531746e+00  7.305864965458717e-03
7.3500  1.205272909856173e-01  -4.442414125322720e+00  9.867521630433412e+00  2.082770062944394e-03
7.3600  7.610075005965644e-02  -4.442808431507176e+00  9.869273379535628e+00  3.310209604385425e-04
7.3700  3.167217273325242e-02  -4.442880702670283e+00  9.869594469079992e+00  9.931416020608845e-06
7.3800  -1.275665342644804e-02  -4.442882879197111e+00  9.869604139131404e+00  2.613646043873744e-07
7.3900  -5.718542168624473e-02  -4.442859181804311e+00  9.869498854671438e+00  1.055458245824079e-04
7.4000  -1.016132288669035e-01  -4.442646102166691e+00  9.868552194548446e+00  1.052205947727815e-03
7.4100  -1.460364982176265e-01  -4.441872452940031e+00  9.865115444093746e+00  4.488956402984556e-03
7.4200  -1.904469036715082e-01  -4.439959637663251e+00  9.856620792039394e+00  1.298360845870785e-02
7.4300  -2.348292993313675e-01  -4.436122504481439e+00  9.839591437383337e+00  3.001296311750932e-02
7.4400  -2.791596626853239e-01  -4.429371349221851e+00  9.809665274653701e+00  5.993912585195319e-02
7.4500  -3.234030666946756e-01  -4.418515829598151e+00  9.761641068204719e+00  1.079633323086034e-01
7.4600  -3.675117044495125e-01  -4.402171736590581e+00  9.689557999218469e+00  1.800464013062615e-01
7.4700  -4.114230003803674e-01  -4.378771730594995e+00  9.586820934328943e+00  2.827834662118127e-01
7.4800  -4.550578537458824e-01  -4.346581273107788e+00  9.446384381865661e+00  4.232200186965532e-01
7.4900  -4.983190728032525e-01  -4.303721048658280e+00  9.261007432332161e+00  6.085969682575847e-01
7.5000  -5.410900709929403e-01  -4.248197150708715e+00  9.023589515644822e+00  8.460148849788720e-01
7.5100  -5.832339086385606e-01  -4.177940170139632e+00  8.727592032633188e+00  1.142012368030745e+00
7.5200  -6.245927737852899e-01  -4.090854045799237e+00  8.367543412015991e+00  1.502060988693786e+00
7.5300  -6.649880022982213e-01  -3.984875087053256e+00  7.939614729708847e+00  1.929989671050983e+00
7.5400  -7.042207384166990e-01  -3.858040941471724e+00  7.442239953036015e+00  2.427364447775919e+00
7.5500  -7.420733307216814e-01  -3.708568456682224e+00  6.876739998949185e+00  2.992864401914071e+00
7.5600  -7.783115431467971e-01  -3.534938398590799e+00  6.247894740915843e+00  3.621709659994571e+00
7.5700  -8.126876348749673e-01  -3.335983894789868e+00  5.564394273148689e+00  4.305210127801131e+00
7.5800  -8.449443260746075e-01  -3.110978363861273e+00  4.839093190206483e+00  5.030511210771646e+00
7.5900  -8.748196189005087e-01  -2.859717694794650e+00  4.088992646960812e+00  5.780611754031941e+00
7.6000  -9.020523868767318e-01  -2.582590708256637e+00  3.334887383186758e+00  6.534717017805657e+00
7.6100  -9.263885841406614e-01  -2.280631624240661e+00  2.600640302743298e+00  7.268964098234237e+00
7.6200  -9.475878640619249e-01  -1.955548523589606e+00  1.912085014056745e+00  7.957519386893737e+00
7.6300  -9.654303407010110e-01  -1.609722721996672e+00  1.295603620856188e+00  8.574000780059228e+00
7.6400  -9.797231833011819e-01  -1.246175595147365e+00  7.764768069704444e-01  9.093127593907370e+00
7.6500  -9.903067100969429e-01  -8.685016236124896e-01  3.771475351087653e-01  9.492456865734876e+00
7.6600  -9.970596484275309e-01  -4.807690796324617e-01  1.155694539653222e-01  9.754034946853096e+00
7.6700  -9.999032563665103e-01  -8.739257495596045e-02  3.818731078716583e-03  9.865785669727488e+00
7.6800  -9.988040565904710e-01  3.070157089029221e-01  4.712932275658191e-02  9.822475078052305e+00
7.6900  -9.937750123247163e-01  6.978072227010669e-01  2.434674600268882e-01  9.626136940798906e+00
7.7000  -9.848750710274823e-01  1.080460561014621e+00  5.836975119540148e-01  9.285906888899836e+00
7.7100  -9.722071047398063e-01  1.450736928009894e+00  1.052318817145792e+00  8.817285583742359e+00
7.7200  -9.559143763878688e-01  1.804818008622445e+00  1.628684022123944e+00  8.240920378798915e+00
7.7300  -9.361757488544424e-01  2.139418424466160e+00  2.288555597472632e+00  7.581048803479557e+00
7.7400  -9.131999202566400e-01  2.451867358141386e+00  3.005826770959609e+00  6.863777630011701e+00
7.7500  -8.872190094047810e-01  2.740156683780652e+00  3.754229325833891e+00  6.115375075143125e+00
7.7600  -8.584818281204976e-01  3.002955697798951e+00  4.508871461471592e+00  5.360732939496391e+00
7.7700  -8.272471635505206e-01  3.239594990431041e+00  5.247487851012947e+00  4.622116549931779e+00
7.7800  -7.937773581556541e-01  3.450023904903087e+00  5.951332472201372e+00  3.918271928707904e+00
7.7900  -7.583324238101515e-01  3.634747270221925e+00  6.605693859192868e+00  3.263910541671800e+00
7.8000  -7.211648662763027e-01  3.794747644211041e+00  7.200054841622623e+00  2.669549559191791e+00
7.8100  -6.825153338343838e-01  3.931399232849693e+00  7.727949964025576e+00  2.141654436736427e+00
7.8200  -6.426091446588619e-01  4.046379088204826e+00  8.186591862730658e+00  1.683012537979866e+00
7.8300  -6.016536957940980e-01  4.141580287831520e+00  8.576343640277306e+00  1.293260760385121e+00
7.8400  -5.598367148496162e-01  4.219030722408644e+00  8.900110118314002e+00  9.694942823054278e-01
7.8500  -5.173252848534451e-01  4.280820004996363e+00  9.162709957588529e+00  7.068944429940032e-01
7.8600  -4.742655528772111e-01  4.329035972296567e+00  9.370276224718841e+00  4.993281758332314e-01
7.8700  -4.307830229864460e-01  4.365711347373015e+00  9.529717784290753e+00  3.398866162371577e-01
7.8800  -3.869833321378215e-01  4.392780412276005e+00  9.648259875237876e+00  2.213445252716339e-01
7.8900  -3.429534119728975e-01  4.412045007822495e+00  9.733070575525698e+00  1.365338249704174e-01
7.9000  -2.987629481855361e-01  4.425148826035985e+00  9.790971066283825e+00  7.863333420303381e-02
7.9100  -2.544660605802787e-01  4.433558765470765e+00  9.828221663441326e+00  4.138273703953069e-02
7.9200  -2.101031396693096e-01  4.438552051851248e+00  9.850372158496462e+00  1.923224198080725e-02
7.9300  -1.657027885518067e-01  4.441207856216328e+00  9.862163611058813e+00  7.440789416542417e-03
7.9400  -1.212838310464415e-01  4.442402242586217e+00  9.867468842467526e+00  2.135558006964486e-03
7.9500  -7.685735802451230e-02  4.442805423962656e+00  9.869260017595998e+00  3.443828781983381e-04
7.9600  -3.242879324209976e-02  4.442880481285838e+00  9.869593485495342e+00  1.091497879875085e-05
7.9700  1.200003252714204e-02  4.442882891955584e+00  9.869604195815807e+00  2.046583358295384e-07
7.9800  5.642880471801523e-02  4.442860414338264e+00  9.869504330646985e+00  1.000698271747004e-04
7.9900  1.008566476954627e-01  4.442653077584581e+00  9.868583183885873e+00  1.021216588436470e-03
8.0000  1.452800476206713e-01  4.441893229875988e+00  9.865207732809068e+00  4.396667665786523e-03
8.0100  1.896907766610945e-01  4.440005802112074e+00  9.856825761394440e+00  1.277863908176631e-02
8.0200  2.340738223320994e-01  4.436209147524893e+00  9.839975800291771e+00  2.962860018715641e-02
8.0300  2.784053303735864e-01  4.429517019350315e+00  9.810310512357049e+00  5.929388812664873e-02
8.0400  3.226505761746870e-01  4.418742445065766e+00  9.762642397912890e+00  1.069620025784254e-01
8.0500  3.667619882811161e-01  4.402504440257061e+00  9.691022673241568e+00  1.785817272610817e-01
8.0600  4.106772577850693e-01  4.379238667225620e+00  9.588865652262010e+00  2.807387482565668e-01
8.0700  4.543175791081865e-01  4.347213267434748e+00  9.449131596280349e+00  4.204728042595928e-01
8.0800  4.975860803638926e-01  4.304551162049497e+00  9.264580353350835e+00  6.050240472165312e-01
8.0900  5.403665144135904e-01  4.249260095517119e+00  9.028105679677079e+00  8.414987209241250e-01
8.1000  5.825222939234072e-01  4.179271564229347e+00  8.733155403788006e+00  1.136448996853338e+00
8.1100  6.238959638979578e-01  4.092489495859891e+00  8.374235136861774e+00  1.495369263825333e+00
8.1200  6.643092117419523e-01  3.986849098508064e+00  7.947482867137282e+00  1.922121533599815e+00
8.1300  7.035635160832537e-01  3.860385665227508e+00  7.451288742147015e+00  2.418315658642173e+00
8.1400  7.414415294920943e-01  3.711312298476789e+00  6.886919488412532e+00  2.982684912428021e+00
8.1500  7.777092750726277e-01  3.538104534599000e+00  6.259091848875005e+00  3.610512552012808e+00
8.1600  8.121192113003038e-01  3.339588756204809e+00  5.576426530284792e+00  4.293177870642589e+00
8.1700  8.444141827794696e-01  3.115030171506226e+00  4.851706484697054e+00  5.017897916258852e+00
8.1800  8.743322272366501e-01  2.864215140038819e+00  4.101864184213795e+00  5.767740216756981e+00
8.1900  9.016121528824430e-01  2.587521885873423e+00  3.347634754936978e+00  6.521969646033706e+00
8.2000  9.259997386898142e-01  2.285973323669686e+00  2.612837018264716e+00  7.256767382691327e+00
8.2100  9.472543481272672e-01  1.961265975178575e+00  1.923282112696583e+00  7.946322288232586e+00
8.2200  9.651556906789396e-01  1.615769873103868e+00  1.305356141415045e+00  8.564248259479161e+00
8.2300  9.795104219374936e-01  1.252495957914923e+00  7.843730622966104e-01  9.085231338559984e+00
8.2400  9.901582487663723e-01  8.750296940246800e-01  3.828384827124626e-01  9.486765918109860e+00
8.2500  9.969772062817124e-01  4.874322801799856e-01  1.187951138807300e-01  9.750809286916175e+00
8.2600  9.998878011504924e-01  9.411362622383426e-02  4.428687320499792e-03  9.865175713463945e+00
8.2700  9.988557707696926e-01  -3.003161231474077e-01  4.509488691114449e-02  9.824509513875721e+00
8.2800  9.938932866536603e-01  -6.912076612654052e-01  2.388840154959956e-01  9.630720385307557e+00
8.2900  9.850585259684139e-01  -1.074036079206914e+00  5.767767497190799e-01  9.292827651112372e+00
8.3000  9.724536383760884e-01  -1.444556552199256e+00  1.043371816250901e+00  8.826232584614802e+00
8.3100  9.562212358483062e-01  -1.798942581917080e+00  1.618097206517246e+00  8.251507194383212e+00
8.3200  9.365396209301942e-01  -2.133898938060023e+00  2.276762338926848e+00  7.592842062003076e+00
8.3300  9.136170359660126e-01  -2.446743838015126e+00  2.993277704432494e+00  6.876326696516761e+00
8.3400  8.876852568037752e-01  -2.735457654556642e+00  3.741364289936264e+00  6.128240111018944e+00
8.3500  8.589928676691416e-01  -2.998698200413990e+00  4.496095448583052e+00  5.373508952363372e+00
8.3600  8.277985407744806e-01  -3.235785092631758e+00  5.235152582848957e+00  4.634451818074439e+00
8.3700  7.943646090975995e-01  -3.446657616482982e+00  5.939724362630074e+00  3.929880038258058e+00
8.3800  7.589511697323829e-01  -3.631811759656861e+00  6.595028328790932e+00  3.274576072052720e+00
8.3900  7.218108951379122e-01  -3.792222649466134e+00  7.190476311561970e+00  2.679128089231495e+00
8.4000  6.831846671167889e-01  -3.929258564882698e+00  7.719536434852021e+00  2.150067965889042e+00
8.4100  6.432980890687183e-01  -4.044592138564696e+00  8.179362783669673e+00  1.690241617019874e+00
8.4200  6.023588801749592e-01  -4.140113468979718e+00  8.570269768013636e+00  1.299334632627735e+00
8.4300  5.605551132529671e-01  -4.217848788384273e+00  8.895124200837342e+00  9.744801997609378e-01
8.4400  5.180542271493473e-01  -4.279887218673153e+00  9.158717302280909e+00  7.108870982803626e-01
8.4500  4.750027245366269e-01  -4.328317102206162e+00  9.367164468625173e+00  5.024399319055340e-01
8.4600  4.315264557654709e-01  -4.365172490969777e+00  9.527365437959645e+00  3.422389625467953e-01
8.4700  3.877313873691527e-01  -4.392389653203700e+00  9.646543432785458e+00  2.230609677024847e-01
8.4800  3.437047580542323e-01  -4.411772922236101e+00  9.731870158687832e+00  1.377342417866381e-01
8.4900  2.995165336788104e-01  -4.424968857635525e+00  9.790174695522122e+00  7.942970494302612e-02
8.5000  2.552210841264108e-01  -4.433447491076628e+00  9.827728328066822e+00  4.187607239227140e-02
8.5100  2.108590177021605e-01  -4.438489359605507e+00  9.850093897665651e+00  1.951050278981767e-02
8.5200  1.664591215790602e-01  -4.441177057328752e+00  9.862026827271636e+00  7.577573181892255e-03
8.5300  1.220403690660179e-01  -4.442390135392038e+00  9.867415057514243e+00  2.189342938408654e-03
8.5400  7.761396547098362e-02  -4.442802326272826e+00  9.869246255167617e+00  3.581452847357005e-04
8.5500  3.318541371333895e-02  -4.442880243851455e+00  9.869592430602783e+00  1.196984951119073e-05
8.5600  -1.124341162440496e-02  -4.442882902515060e+00  9.869604242730322e+00  1.577219681312678e-07
