# omega0=1, alpha=10
# theta0=0.05, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          theta(t)                 thetadot(t)       
8.845703552923329e+00 2.067367302199998e-02 -2.088311620576226e-03
8.936896373056559e+00 2.048410831256994e-02 -2.069165878944875e-03
9.028089193189789e+00 2.029628154499113e-02 -2.050195591091571e-03
9.119282013323019e+00 2.011017679247038e-02 -2.031399151190267e-03
9.210474833456249e+00 1.992577827398578e-02 -2.012774968056147e-03
9.301667653589480e+00 1.974307035295742e-02 -1.994321465013658e-03
9.392860473722710e+00 1.956203753593034e-02 -1.976037079765694e-03
9.484053293855940e+00 1.938266447126915e-02 -1.957920264263913e-03
9.575246113989170e+00 1.920493594786456e-02 -1.939969484580196e-03
9.666438934122400e+00 1.902883689385153e-02 -1.922183220779212e-03
9.757631754255630e+00 1.885435237533899e-02 -1.904559966792108e-03
9.848824574388860e+00 1.868146759515105e-02 -1.887098230291295e-03
9.940017394522091e+00 1.851016789157951e-02 -1.869796532566333e-03
1.003121021465532e+01 1.834043873714777e-02 -1.852653408400900e-03
1.012240303478855e+01 1.817226573738578e-02 -1.835667405950845e-03
1.021359585492178e+01 1.800563462961612e-02 -1.818837086623301e-03
1.030478867505501e+01 1.784053128175107e-02 -1.802161024956870e-03
1.039598149518824e+01 1.767694169110050e-02 -1.785637808502847e-03
1.048717431532147e+01 1.751485198319064e-02 -1.769266037707505e-03
1.057836713545470e+01 1.735424841059342e-02 -1.753044325795402e-03
1.066955995558793e+01 1.719511735176650e-02 -1.736971298653722e-03
1.076075277572116e+01 1.703744530990373e-02 -1.721045594717631e-03
1.085194559585439e+01 1.688121891179610e-02 -1.705265864856653e-03
1.094313841598762e+01 1.672642490670293e-02 -1.689630772262036e-03
1.103433123612085e+01 1.657305016523332e-02 -1.674138992335126e-03
1.112552405625408e+01 1.642108167823771e-02 -1.658789212576716e-03
1.121671687638731e+01 1.627050655570954e-02 -1.643580132477383e-03
1.130790969652054e+01 1.612131202569683e-02 -1.628510463408788e-03
1.139910251665377e+01 1.597348543322358e-02 -1.613578928515945e-03
1.149029533678700e+01 1.582701423922104e-02 -1.598784262610441e-03
1.158148815692023e+01 1.568188601946867e-02 -1.584125212064604e-03
1.167268097705346e+01 1.553808846354457e-02 -1.569600534706609e-03
1.176387379718669e+01 1.539560937378568e-02 -1.555208999716519e-03
1.185506661731992e+01 1.525443666425711e-02 -1.540949387523247e-03
1.194625943745315e+01 1.511455835973114e-02 -1.526820489702429e-03
1.203745225758638e+01 1.497596259467524e-02 -1.512821108875218e-03
1.212864507771961e+01 1.483863761224941e-02 -1.498950058607968e-03
1.221983789785284e+01 1.470257176331262e-02 -1.485206163312811e-03
1.231103071798607e+01 1.456775350543823e-02 -1.471588258149131e-03
1.240222353811930e+01 1.443417140193836e-02 -1.458095188925902e-03
1.249341635825254e+01 1.430181412089717e-02 -1.444725812004910e-03
1.258460917838577e+01 1.417067043421290e-02 -1.431478994204826e-03
1.267580199851900e+01 1.404072921664860e-02 -1.418353612706150e-03
1.276699481865223e+01 1.391197944489153e-02 -1.405348554956988e-03
1.285818763878546e+01 1.378441019662107e-02 -1.392462718579687e-03
1.294938045891869e+01 1.365801064958513e-02 -1.379695011278291e-03
1.304057327905192e+01 1.353277008068498e-02 -1.367044350746836e-03
1.313176609918515e+01 1.340867786506837e-02 -1.354509664578459e-03
1.322295891931838e+01 1.328572347523092e-02 -1.342089890175324e-03
1.331415173945161e+01 1.316389648012568e-02 -1.329783974659351e-03
1.340534455958484e+01 1.304318654428080e-02 -1.317590874783751e-03
1.349653737971807e+01 1.292358342692522e-02 -1.305509556845349e-03
1.358773019985130e+01 1.280507698112235e-02 -1.293538996597698e-03
1.367892301998453e+01 1.268765715291159e-02 -1.281678179164966e-03
1.377011584011776e+01 1.257131398045773e-02 -1.269926098956605e-03
1.386130866025099e+01 1.245603759320802e-02 -1.258281759582778e-03
1.395250148038422e+01 1.234181821105699e-02 -1.246744173770550e-03
1.404369430051745e+01 1.222864614351882e-02 -1.235312363280835e-03
