# omega0=1, alpha=0.1
# theta0=0.05, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          theta(t)                 thetadot(t)       
5.745147668393503e+00 3.108708829874967e-02 1.949995300293365e-02
5.836340488526734e+00 3.272604894961009e-02 1.642477059264245e-02
5.927533308659964e+00 3.407945043654768e-02 1.324170115758623e-02
6.018726128793194e+00 3.513869509575006e-02 9.978047197856128e-03
6.109918948926424e+00 3.589769575653778e-02 6.661526526917439e-03
6.201111769059654e+00 3.635290302087844e-02 3.320039902255172e-03
6.292304589192884e+00 3.650331137412836e-02 -1.856055914653629e-05
6.383497409326115e+00 3.635044428282776e-02 -3.326700339479639e-03
6.474690229459345e+00 3.589831860125278e-02 -6.577307057535730e-03
6.565883049592575e+00 3.515338876974011e-02 -9.744028843855484e-03
6.657075869725805e+00 3.412447144377362e-02 -1.280144487525561e-02
6.748268689859035e+00 3.282265134270784e-02 -1.572526646120661e-02
6.839461509992265e+00 3.126116925005530e-02 -1.849252715366007e-02
6.930654330125495e+00 2.945529323270728e-02 -2.108176043973674e-02
7.021847150258726e+00 2.742217427347780e-02 -2.347316367369949e-02
7.113039970391956e+00 2.518068762909333e-02 -2.564874701138900e-02
7.204232790525186e+00 2.275126133328653e-02 -2.759246622724559e-02
7.295425610658416e+00 2.015569336104803e-02 -2.929033842143729e-02
7.386618430791646e+00 1.741695905439149e-02 -3.073053976243191e-02
7.477811250924876e+00 1.455901048125855e-02 -3.190348455819893e-02
7.569004071058107e+00 1.160656945655108e-02 -3.280188510630241e-02
7.660196891191337e+00 8.584915996937989e-03 -3.342079193821964e-02
7.751389711324567e+00 5.519674008388075e-03 -3.375761424464320e-02
7.842582531457797e+00 2.436596016836870e-03 -3.381212044427381e-02
7.933775351591027e+00 -6.386512522842423e-04 -3.358641903636085e-02
8.024968171724257e+00 -3.680698660812790e-03 -3.308492005445123e-02
8.116160991857488e+00 -6.664682062988811e-03 -3.231427761281579e-02
8.207353811990718e+00 -9.566443633572699e-03 -3.128331420518951e-02
8.298546632123948e+00 -1.236272549107575e-02 -3.000292757526033e-02
8.389739452257178e+00 -1.503135406984755e-02 -2.848598112747485e-02
8.480932272390408e+00 -1.755141378941648e-02 -2.674717898321147e-02
8.572125092523638e+00 -1.990340867593960e-02 -2.480292690961129e-02
8.663317912656868e+00 -2.206941070752952e-02 -2.267118045518866e-02
8.754510732790099e+00 -2.403319378114852e-02 -2.037128171705728e-02
8.845703552923329e+00 -2.578035233220890e-02 -1.792378623893136e-02
8.936896373056559e+00 -2.729840377750030e-02 -1.535028159713224e-02
9.028089193189789e+00 -2.857687409611983e-02 -1.267319927413304e-02
9.119282013323019e+00 -2.960736601030144e-02 -9.915621446471450e-03
9.210474833456249e+00 -3.038360937710335e-02 -7.101084327106320e-03
9.301667653589480e+00 -3.090149355158139e-02 -4.253379702547326e-03
9.392860473722710e+00 -3.115908163121729e-02 -1.396356293424692e-03
9.484053293855940e+00 -3.115660663894431e-02 1.446277455394216e-03
9.575246113989170e+00 -3.089644984716608e-02 4.251147581596929e-03
9.666438934122400e+00 -3.038310158682114e-02 6.995404277418401e-03
9.757631754255630e+00 -2.962310502298543e-02 9.656905545700039e-03
9.848824574388860e+00 -2.862498351094759e-02 1.221439341785257e-02
9.940017394522091e+00 -2.739915227338123e-02 1.464766137876580e-02
1.003121021465532e+01 -2.595781525942414e-02 1.693771171912708e-02
1.012240303478855e+01 -2.431484815940631e-02 1.906690161931148e-02
1.021359585492178e+01 -2.248566865388535e-02 2.101907686108848e-02
1.030478867505501e+01 -2.048709507178369e-02 2.277969216391245e-02
1.039598149518824e+01 -1.833719471900600e-02 2.433591725148204e-02
1.048717431532147e+01 -1.605512321519226e-02 2.567672787135696e-02
1.057836713545470e+01 -1.366095624150120e-02 2.679298111528243e-02
1.066955995558793e+01 -1.117551515584316e-02 2.767747451981304e-02
1.076075277572116e+01 -8.620187973185540e-03 2.832498856490004e-02
1.085194559585439e+01 -6.016747236932778e-03 2.873231233109182e-02
1.094313841598762e+01 -3.387166322553271e-03 2.889825222242659e-02
1.103433123612085e+01 -7.534357163486950e-04 2.882362381029169e-02
1.112552405625408e+01 1.862619199540947e-03 2.851122700164617e-02
1.121671687638731e+01 4.439517350036723e-03 2.796580488111956e-02
1.130790969652054e+01 6.956296690457150e-03 2.719398671865773e-02
1.139910251665377e+01 9.392683033927028e-03 2.620421577068206e-02
1.149029533678700e+01 1.172925162969088e-02 2.500666263138383e-02
1.158148815692023e+01 1.394758021368257e-02 2.361312501019877e-02
1.167268097705346e+01 1.603039233763926e-02 2.203691492034703e-02
1.176387379718669e+01 1.796168987738557e-02 2.029273436050557e-02
1.185506661731992e+01 1.972687372355127e-02 1.839654065642954e-02
1.194625943745315e+01 2.131285176776648e-02 1.636540270118406e-02
1.203745225758638e+01 2.270813341311370e-02 1.421734939140593e-02
1.212864507771961e+01 2.390290995811560e-02 1.197121160276712e-02
1.221983789785284e+01 2.488912032762702e-02 9.646459080862054e-03
1.231103071798607e+01 2.566050175054150e-02 7.263033644563236e-03
1.240222353811930e+01 2.621262511212779e-02 4.841180108081593e-03
1.249341635825254e+01 2.654291483705062e-02 2.401276326187855e-03
1.258460917838577e+01 2.665065328673087e-02 -3.633624502808017e-05
1.267580199851900e+01 2.653696978075524e-02 -2.451520101220138e-03
1.276699481865223e+01 2.620481447569975e-02 -4.824506016852614e-03
1.285818763878546e+01 2.565891745517957e-02 -7.136052845870306e-03
1.294938045891869e+01 2.490573350141417e-02 -9.367601543202278e-03
1.304057327905192e+01 2.395337313036699e-02 -1.150142220987905e-02
1.313176609918515e+01 2.281152057887016e-02 -1.352075302780086e-02
1.322295891931838e+01 2.149133953238237e-02 -1.540993002100205e-02
1.331415173945161e+01 2.000536747546942e-02 -1.715450665847437e-02
1.340534455958484e+01 1.836739963307332e-02 -1.874136239908262e-02
1.349653737971807e+01 1.659236354849547e-02 -2.015879937160947e-02
1.358773019985130e+01 1.469618541313395e-02 -2.139662648218830e-02
1.367892301998453e+01 1.269564932279134e-02 -2.244623034687509e-02
1.377011584011776e+01 1.060825068526243e-02 -2.330063255826989e-02
1.386130866025099e+01 8.452045043436836e-03 -2.395453291115232e-02
1.395250148038422e+01 6.245493606906811e-03 -2.440433833209523e-02
1.404369430051745e+01 4.007306802743994e-03 -2.464817738085595e-02
1.413488712065068e+01 1.756287162498677e-03 -2.468590031575648e-02
1.422607994078391e+01 -4.888271425005717e-04 -2.451906483988524e-02
1.431727276091714e+01 -2.709516821764274e-03 -2.415090776833754e-02
1.440846558105037e+01 -4.887632773828458e-03 -2.358630297738844e-02
1.449965840118360e+01 -7.005542951922685e-03 -2.283170611300538e-02
1.459085122131683e+01 -9.046273605675130e-03 -2.189508664707145e-02
1.468204404145006e+01 -1.099364377587008e-02 -2.078584797382773e-02
1.477323686158329e+01 -1.283239198687489e-02 -1.951473633522680e-02
1.486442968171652e+01 -1.454829415732704e-02 -1.809373945117058e-02
1.495562250184975e+01 -1.612827183316975e-02 -1.653597580823640e-02
1.504681532198298e+01 -1.756048993724039e-02 -1.485557562793171e-02
1.513800814211621e+01 -1.883444332540291e-02 -1.306755459242800e-02
1.522920096224944e+01 -1.994103153970688e-02 -1.118768145196544e-02
1.532039378238267e+01 -2.087262125327743e-02 -9.232340673726124e-03
1.541158660251590e+01 -2.162309600863095e-02 -7.218391317124925e-03
1.550277942264913e+01 -2.218789295992976e-02 -5.163023335455307e-03
1.559397224278236e+01 -2.256402643942426e-02 -3.083612509027367e-03
1.568516506291559e+01 -2.275009827811074e-02 -9.975752107663745e-04
1.577635788304882e+01 -2.274629491962107e-02 1.077775807862364e-03
1.586755070318205e+01 -2.255437147376376e-02 3.125373444345282e-03
1.595874352331528e+01 -2.217762296119459e-02 5.128534949488800e-03
1.604993634344851e+01 -2.162084310268936e-02 7.071096209589013e-03
1.614112916358174e+01 -2.089027110472691e-02 8.937540552222937e-03
1.623232198371497e+01 -1.999352698690461e-02 1.071312107352524e-02
1.632351480384820e+01 -1.893953608546049e-02 1.238397554374969e-02
1.641470762398143e+01 -1.773844345024850e-02 1.393723301349092e-02
1.650590044411466e+01 -1.640151892931328e-02 1.536111131489505e-02
1.659709326424789e+01 -1.494105380516914e-02 1.664500473021284e-02
1.668828608438112e+01 -1.337024990946840e-02 1.777956118378328e-02
1.677947890451435e+01 -1.170310219744402e-02 1.875674840253042e-02
1.687067172464758e+01 -9.954275809876888e-03 1.956990858376902e-02
1.696186454478081e+01 -8.138978687966560e-03 2.021380120688909e-02
1.705305736491404e+01 -6.272830835039572e-03 2.068463372656099e-02
1.714425018504727e+01 -4.371731338250901e-03 2.098007998859506e-02
1.723544300518050e+01 -2.451724273143578e-03 2.109928631453021e-02
