# r      Exact       Approx       Abserr
2.5062992 -0.24573631 -0.24573631 3.5532133e-12
2.5125984 -0.24521442 -0.24521442 3.520656e-12
2.5188976 -0.2446894 -0.2446894 3.5051961e-12
2.5251969 -0.24416131 -0.24416131 3.4682535e-12
2.5314961 -0.24363019 -0.24363019 3.4298397e-12
2.5377953 -0.24309612 -0.24309612 3.4022229e-12
2.5440945 -0.24255915 -0.24255915 3.3744119e-12
2.5503937 -0.24201934 -0.24201934 3.3447967e-12
2.5566929 -0.24147675 -0.24147675 3.3199554e-12
2.5629921 -0.24093142 -0.24093142 3.2854552e-12
2.5692913 -0.24038343 -0.24038343 3.2611136e-12
2.5755906 -0.23983281 -0.23983281 3.2262248e-12
2.5818898 -0.23927963 -0.23927963 3.2027436e-12
2.588189 -0.23872394 -0.23872394 3.1616376e-12
2.5944882 -0.2381658 -0.2381658 3.1444569e-12
2.6007874 -0.23760525 -0.23760525 3.1244451e-12
2.6070866 -0.23704235 -0.23704235 3.0794811e-12
2.6133858 -0.23647715 -0.23647715 3.0571656e-12
2.619685 -0.23590971 -0.23590971 3.030548e-12
2.6259843 -0.23534006 -0.23534006 3.01148e-12
2.6322835 -0.23476827 -0.23476827 2.9827252e-12
2.6385827 -0.23419437 -0.23419437 2.9540814e-12
2.6448819 -0.23361843 -0.23361843 2.9194425e-12
2.6511811 -0.23304049 -0.23304049 2.8934077e-12
2.6574803 -0.23246059 -0.23246059 2.8805291e-12
2.6637795 -0.23187879 -0.23187879 2.8543001e-12
2.6700787 -0.23129513 -0.23129513 2.8205493e-12
2.676378 -0.23070965 -0.23070965 2.7915448e-12
2.6826772 -0.23012241 -0.23012241 2.7682301e-12
2.6889764 -0.22953344 -0.22953344 2.7472191e-12
2.6952756 -0.2289428 -0.2289428 2.7240432e-12
2.7015748 -0.22835052 -0.22835052 2.7007285e-12
2.707874 -0.22775666 -0.22775666 2.6717795e-12
2.7141732 -0.22716125 -0.22716125 2.6526559e-12
2.7204724 -0.22656434 -0.22656434 2.6237068e-12
2.7267717 -0.22596596 -0.22596596 2.6041946e-12
2.7330709 -0.22536617 -0.22536617 2.5773272e-12
2.7393701 -0.224765 -0.224765 2.552375e-12
2.7456693 -0.22416249 -0.22416249 2.5372204e-12
2.7519685 -0.22355869 -0.22355869 2.5028868e-12
2.7582677 -0.22295363 -0.22295363 2.4910629e-12
2.7645669 -0.22234736 -0.22234736 2.4672764e-12
2.7708661 -0.2217399 -0.2217399 2.4349966e-12
2.7771654 -0.22113131 -0.22113131 2.4176217e-12
2.7834646 -0.22052162 -0.22052162 2.404521e-12
2.7897638 -0.21991087 -0.21991087 2.3739344e-12
2.796063 -0.21929909 -0.21929909 2.3518687e-12
2.8023622 -0.21868632 -0.21868632 2.3312186e-12
2.8086614 -0.21807261 -0.21807261 2.3148428e-12
2.8149606 -0.21745797 -0.21745797 2.2957469e-12
2.8212598 -0.21684246 -0.21684246 2.2620239e-12
2.8275591 -0.2162261 -0.2162261 2.2441493e-12
2.8338583 -0.21560894 -0.21560894 2.230327e-12
2.8401575 -0.21499099 -0.21499099 2.2058189e-12
2.8464567 -0.21437231 -0.21437231 2.1864177e-12
2.8527559 -0.21375292 -0.21375292 2.1745938e-12
2.8590551 -0.21313285 -0.21313285 2.1407598e-12
2.8653543 -0.21251215 -0.21251215 2.1252722e-12
2.8716535 -0.21189083 -0.21189083 2.1103397e-12
2.8779528 -0.21126894 -0.21126894 2.0851376e-12
2.884252 -0.21064651 -0.21064651 2.075784e-12
2.8905512 -0.21002356 -0.21002356 2.0504709e-12
2.8968504 -0.20940012 -0.20940012 2.0278779e-12
2.9031496 -0.20877624 -0.20877624 2.0166369e-12
2.9094488 -0.20815193 -0.20815193 1.9850788e-12
2.915748 -0.20752724 -0.20752724 1.9795554e-12
2.9220472 -0.20690218 -0.20690218 1.9585999e-12
2.9283465 -0.20627678 -0.20627678 1.9346746e-12
2.9346457 -0.20565109 -0.20565109 1.9281521e-12
2.9409449 -0.20502512 -0.20502512 1.897732e-12
2.9472441 -0.2043989 -0.2043989 1.8858248e-12
2.9535433 -0.20377246 -0.20377246 1.8693935e-12
2.9598425 -0.20314582 -0.20314582 1.8442747e-12
2.9661417 -0.20251903 -0.20251903 1.8342827e-12
2.9724409 -0.20189209 -0.20189209 1.8131607e-12
2.9787402 -0.20126504 -0.20126504 1.7973956e-12
2.9850394 -0.20063791 -0.20063791 1.7876811e-12
2.9913386 -0.20001072 -0.20001072 1.7621737e-12
2.9976378 -0.19938349 -0.19938349 1.7443547e-12
3.003937 -0.19875625 -0.19875625 1.7281732e-12
3.0102362 -0.19812903 -0.19812903 1.7218449e-12
3.0165354 -0.19750185 -0.19750185 1.7005009e-12
3.0228346 -0.19687473 -0.19687473 1.6788515e-12
3.0291339 -0.1962477 -0.1962477 1.6696089e-12
3.0354331 -0.19562078 -0.19562078 1.6528723e-12
3.0417323 -0.194994 -0.194994 1.6383284e-12
3.0480315 -0.19436737 -0.19436737 1.6167345e-12
3.0543307 -0.19374093 -0.19374093 1.6080193e-12
3.0606299 -0.19311469 -0.19311469 1.5887014e-12
3.0669291 -0.19248868 -0.19248868 1.5690782e-12
3.0732283 -0.19186291 -0.19186291 1.5676349e-12
3.0795276 -0.19123741 -0.19123741 1.5411561e-12
3.0858268 -0.1906122 -0.1906122 1.5297763e-12
3.092126 -0.1899873 -0.1899873 1.5188129e-12
3.0984252 -0.18936274 -0.18936274 1.4978296e-12
3.1047244 -0.18873852 -0.18873852 1.4857282e-12
3.1110236 -0.18811468 -0.18811468 1.4726276e-12
3.1173228 -0.18749124 -0.18749124 1.4629964e-12
3.123622 -0.1868682 -0.1868682 1.4412915e-12
3.1299213 -0.1862456 -0.1862456 1.4264423e-12
3.1362205 -0.18562344 -0.18562344 1.42103e-12
3.1425197 -0.18500176 -0.18500176 1.4099555e-12
3.1488189 -0.18438056 -0.18438056 1.3798684e-12
3.1551181 -0.18375988 -0.18375988 1.37379e-12
3.1614173 -0.18313971 -0.18313971 1.3690993e-12
3.1677165 -0.18252009 -0.18252009 1.3486157e-12
3.1740157 -0.18190103 -0.18190103 1.3378187e-12
3.180315 -0.18128255 -0.18128255 1.320416e-12
3.1866142 -0.18066466 -0.18066466 1.3139489e-12
3.1929134 -0.18004738 -0.18004738 1.2908563e-12
3.1992126 -0.17943073 -0.17943073 1.2838342e-12
3.2055118 -0.17881473 -0.17881473 1.2761181e-12
3.211811 -0.17819939 -0.17819939 1.2584378e-12
3.2181102 -0.17758472 -0.17758472 1.2533308e-12
3.2244094 -0.17697075 -0.17697075 1.2340684e-12
3.2307087 -0.17635749 -0.17635749 1.2214951e-12
3.2370079 -0.17574495 -0.17574495 1.209477e-12
3.2433071 -0.17513315 -0.17513315 1.2000956e-12
3.2496063 -0.1745221 -0.1745221 1.1898538e-12
3.2559055 -0.17391182 -0.17391182 1.1729784e-12
3.2622047 -0.17330233 -0.17330233 1.1663726e-12
3.2685039 -0.17269363 -0.17269363 1.1523005e-12
3.2748031 -0.17208574 -0.17208574 1.1431411e-12
3.2811024 -0.17147868 -0.17147868 1.1347867e-12
3.2874016 -0.17087245 -0.17087245 1.1159407e-12
3.2937008 -0.17026708 -0.17026708 1.1052548e-12
3.3 -0.16966257 -0.16966257 1.0963452e-12
